Year,CNTY,Crop_Code,CSBACRES,Source_Window,Crop_Name
2008,Albany,1,4163.475828211136,2008-2015,Corn
2008,Albany,12,63.28232156426526,2008-2015,Other (12)
2008,Albany,24,6.347163894226728,2008-2015,Winter Wheat
2008,Albany,27,4.031668980544379,2008-2015,Other (27)
2008,Albany,28,20.140546949638622,2008-2015,Other (28)
2008,Albany,36,2143.855735262499,2008-2015,Alfalfa
2008,Albany,37,17724.718545666794,2008-2015,Other Hay
2008,Albany,42,7.384716216641017,2008-2015,Other (42)
2008,Albany,47,9.992296087390901,2008-2015,Other (47)
2008,Albany,58,5.415136926315392,2008-2015,Other (58)
2008,Albany,61,1203.129695897409,2008-2015,Fallow
2008,Albany,68,87.09887062211202,2008-2015,Other (68)
2008,Albany,111,77.67218459259813,2008-2015,Other (111)
2008,Albany,121,255.11219047612778,2008-2015,Developed
2008,Albany,122,34.8523277906117,2008-2015,Other (122)
2008,Albany,123,5.833562731350052,2008-2015,Other (123)
2008,Albany,124,17.128924199980876,2008-2015,Other (124)
2008,Albany,131,55.81357233897144,2008-2015,Other (131)
2008,Albany,141,738.9712975144686,2008-2015,Forest
2008,Albany,142,2.513131890523505,2008-2015,Other (142)
2008,Albany,143,12.935489858948868,2008-2015,Other (143)
2008,Albany,152,4.594640356278612,2008-2015,Other (152)
2008,Albany,176,13001.282973140385,2008-2015,Grass/Pasture
2008,Albany,190,57.55446561868184,2008-2015,Other (190)
2008,Albany,195,20.809508176706213,2008-2015,Other (195)
2008,Albany,229,15.676060451634147,2008-2015,Other (229)
2008,Albany,242,7.430693525138443,2008-2015,Other (242)
2008,Allegany,1,18662.735383824063,2008-2015,Corn
2008,Allegany,5,434.7878399820121,2008-2015,Soybeans
2008,Allegany,12,185.06196402579528,2008-2015,Other (12)
2008,Allegany,21,22.114260706583355,2008-2015,Barley
2008,Allegany,23,11.235044909124099,2008-2015,Spring Wheat
2008,Allegany,24,785.7619566264112,2008-2015,Winter Wheat
2008,Allegany,27,34.745302273687805,2008-2015,Other (27)
2008,Allegany,28,321.0293405566432,2008-2015,Other (28)
2008,Allegany,30,41.301720590194684,2008-2015,Other (30)
2008,Allegany,36,5946.005821413637,2008-2015,Alfalfa
2008,Allegany,37,48134.40375338695,2008-2015,Other Hay
2008,Allegany,42,726.5392734183841,2008-2015,Other (42)
2008,Allegany,43,109.51631767178148,2008-2015,Other (43)
2008,Allegany,44,51.42144602916364,2008-2015,Other (44)
2008,Allegany,53,335.8874954865793,2008-2015,Other (53)
2008,Allegany,58,10.85872477173367,2008-2015,Other (58)
2008,Allegany,59,24.17420619999992,2008-2015,Sod/Grass Seed
2008,Allegany,61,276.14674646973117,2008-2015,Fallow
2008,Allegany,111,20.442313148624418,2008-2015,Other (111)
2008,Allegany,121,27.418879435408606,2008-2015,Developed
2008,Allegany,131,28.701227119175574,2008-2015,Other (131)
2008,Allegany,141,1367.6093872988351,2008-2015,Forest
2008,Allegany,142,9.095748979319556,2008-2015,Other (142)
2008,Allegany,152,23.64493504797293,2008-2015,Other (152)
2008,Allegany,176,22531.05249324489,2008-2015,Grass/Pasture
2008,Allegany,195,13.721665982029066,2008-2015,Other (195)
2008,Allegany,205,25.161064565055042,2008-2015,Other (205)
2008,Broome,1,7415.499290117599,2008-2015,Corn
2008,Broome,5,12.545425202543857,2008-2015,Soybeans
2008,Broome,21,3.877884619999217,2008-2015,Barley
2008,Broome,24,6.392475682726474,2008-2015,Winter Wheat
2008,Broome,27,13.531228205402742,2008-2015,Other (27)
2008,Broome,28,173.09387262984626,2008-2015,Other (28)
2008,Broome,36,1686.4858007027956,2008-2015,Alfalfa
2008,Broome,37,12581.577194299109,2008-2015,Other Hay
2008,Broome,42,6.423874110581222,2008-2015,Other (42)
2008,Broome,58,50.59397609961232,2008-2015,Other (58)
2008,Broome,61,156.12683949867574,2008-2015,Fallow
2008,Broome,111,9.26809030566035,2008-2015,Other (111)
2008,Broome,121,63.31249991231501,2008-2015,Developed
2008,Broome,123,29.893526180742395,2008-2015,Other (123)
2008,Broome,141,276.7743000346033,2008-2015,Forest
2008,Broome,143,17.443421116987125,2008-2015,Other (143)
2008,Broome,176,22637.985625569472,2008-2015,Grass/Pasture
2008,Broome,229,2.753104079488781,2008-2015,Other (229)
2008,Cattaraugus,1,26653.926730377705,2008-2015,Corn
2008,Cattaraugus,4,24.16572816166001,2008-2015,Sorghum
2008,Cattaraugus,5,1869.6582645889039,2008-2015,Soybeans
2008,Cattaraugus,12,115.64605839397024,2008-2015,Other (12)
2008,Cattaraugus,21,154.03867614226476,2008-2015,Barley
2008,Cattaraugus,24,761.3353916761107,2008-2015,Winter Wheat
2008,Cattaraugus,25,5.135137964089166,2008-2015,Other (25)
2008,Cattaraugus,27,40.635509386641154,2008-2015,Other (27)
2008,Cattaraugus,28,655.1891427082691,2008-2015,Other (28)
2008,Cattaraugus,36,5333.5378891496675,2008-2015,Alfalfa
2008,Cattaraugus,37,57646.89904153636,2008-2015,Other Hay
2008,Cattaraugus,42,1327.1566024301005,2008-2015,Other (42)
2008,Cattaraugus,43,3.674050828805767,2008-2015,Other (43)
2008,Cattaraugus,44,245.79131346697736,2008-2015,Other (44)
2008,Cattaraugus,47,2.7455147210836413,2008-2015,Other (47)
2008,Cattaraugus,53,794.1154132871247,2008-2015,Other (53)
2008,Cattaraugus,58,4.202867839993136,2008-2015,Other (58)
2008,Cattaraugus,61,744.6717814948051,2008-2015,Fallow
2008,Cattaraugus,69,777.2461354525923,2008-2015,Other (69)
2008,Cattaraugus,71,2.970039341760614,2008-2015,Other (71)
2008,Cattaraugus,111,8.388357901891705,2008-2015,Other (111)
2008,Cattaraugus,121,95.81280320974795,2008-2015,Developed
2008,Cattaraugus,122,6.53727387497036,2008-2015,Other (122)
2008,Cattaraugus,123,14.960004622806157,2008-2015,Other (123)
2008,Cattaraugus,124,9.02228256519485,2008-2015,Other (124)
2008,Cattaraugus,131,70.16799721281109,2008-2015,Other (131)
2008,Cattaraugus,141,1555.4636182229701,2008-2015,Forest
2008,Cattaraugus,142,24.82774614585191,2008-2015,Other (142)
2008,Cattaraugus,152,43.50998890995665,2008-2015,Other (152)
2008,Cattaraugus,176,17281.903117248617,2008-2015,Grass/Pasture
2008,Cattaraugus,190,63.51029149247232,2008-2015,Other (190)
2008,Cattaraugus,195,29.964374301368697,2008-2015,Other (195)
2008,Cattaraugus,205,6.535910803145715,2008-2015,Other (205)
2008,Cattaraugus,242,34.07243131435029,2008-2015,Other (242)
2008,Cayuga,1,73690.68798073304,2008-2015,Corn
2008,Cayuga,5,37533.988126730335,2008-2015,Soybeans
2008,Cayuga,6,40.71735169617793,2008-2015,Other (6)
2008,Cayuga,12,4870.58502034086,2008-2015,Other (12)
2008,Cayuga,21,144.86564958399103,2008-2015,Barley
2008,Cayuga,24,8624.275146731356,2008-2015,Winter Wheat
2008,Cayuga,27,244.81348195147163,2008-2015,Other (27)
2008,Cayuga,28,2248.108279274965,2008-2015,Other (28)
2008,Cayuga,29,11.88328667338415,2008-2015,Other (29)
2008,Cayuga,36,38946.31677233183,2008-2015,Alfalfa
2008,Cayuga,37,7119.568742486285,2008-2015,Other Hay
2008,Cayuga,39,14.94901007512286,2008-2015,Other (39)
2008,Cayuga,42,509.9992671122517,2008-2015,Other (42)
2008,Cayuga,43,187.44477884504295,2008-2015,Other (43)
